Age Group,Race,BMI Category,Gender,Mean
1,1,1,0,0.003960
1,1,1,1,0.007620
1,1,2,0,0.004680
1,1,2,1,0.006100
1,1,3,0,0.005990
1,1,3,1,0.005580
1,1,4,0,0.003820
1,1,4,1,0.004250
1,2,1,0,0.000000
1,2,1,1,0.000000
1,2,2,0,0.001570
1,2,2,1,0.000859
1,2,3,0,0.000479
1,2,3,1,0.001710
1,2,4,0,0.004120
1,2,4,1,0.000240
1,3,1,0,0.026700
1,3,1,1,0.078100
1,3,2,0,0.005320
1,3,2,1,0.002650
1,3,3,0,0.001250
1,3,3,1,0.000000
1,3,4,0,0.002240
1,3,4,1,0.001740
1,4,1,0,0.000000
1,4,1,1,0.000134
1,4,2,0,0.000235
1,4,2,1,0.000212
1,4,3,0,0.000101
1,4,3,1,0.000835
1,4,4,0,0.009840
1,4,4,1,0.000000
1,5,1,0,0.000000
1,5,1,1,0.000000
1,5,2,0,0.008620
1,5,2,1,0.009200
1,5,3,0,0.002710
1,5,3,1,0.000000
1,5,4,0,0.004250
1,5,4,1,0.034700
1,6,1,0,0.002320
1,6,1,1,0.000867
1,6,2,0,0.001540
1,6,2,1,0.001910
1,6,3,0,0.001420
1,6,3,1,0.000915
1,6,4,0,0.004220
1,6,4,1,0.001110
1,7,1,0,0.012600
1,7,1,1,0.001020
1,7,2,0,0.003930
1,7,2,1,0.004580
1,7,3,0,0.002530
1,7,3,1,0.006160
1,7,4,0,0.005810
1,7,4,1,0.000514
2,1,1,0,0.015400
2,1,1,1,0.010500
2,1,2,0,0.006600
2,1,2,1,0.009790
2,1,3,0,0.006180
2,1,3,1,0.008130
2,1,4,0,0.004450
2,1,4,1,0.007890
2,2,1,0,0.006350
2,2,1,1,0.003730
2,2,2,0,0.000000
2,2,2,1,0.000606
2,2,3,0,0.002170
2,2,3,1,0.000162
2,2,4,0,0.003230
2,2,4,1,0.002590
2,3,1,0,0.000000
2,3,1,1,0.000000
2,3,2,0,0.001410
2,3,2,1,0.018200
2,3,3,0,0.000328
2,3,3,1,0.006050
2,3,4,0,0.011800
2,3,4,1,0.000598
2,4,1,0,0.000000
2,4,1,1,0.000000
2,4,2,0,0.001560
2,4,2,1,0.003310
2,4,3,0,0.001470
2,4,3,1,0.006360
2,4,4,0,0.001440
2,4,4,1,0.003110
2,5,1,0,0.000000
2,5,1,1,0.099900
2,5,2,0,0.000000
2,5,2,1,0.002070
2,5,3,0,0.004500
2,5,3,1,0.053000
2,5,4,0,0.001250
2,5,4,1,0.009600
2,6,1,0,0.005950
2,6,1,1,0.023100
2,6,2,0,0.001150
2,6,2,1,0.001980
2,6,3,0,0.001400
2,6,3,1,0.001890
2,6,4,0,0.001430
2,6,4,1,0.000830
2,7,1,0,0.006460
2,7,1,1,0.010100
2,7,2,0,0.002900
2,7,2,1,0.006770
2,7,3,0,0.017700
2,7,3,1,0.002750
2,7,4,0,0.004540
2,7,4,1,0.001930
