Condition,Female,Age Group,BMI category,Mean,
arthritis,0,1,1,0.0278,
arthritis,0,1,2,0.0219,
arthritis,0,1,3,0.0265,
arthritis,0,1,4,0.0354,
arthritis,0,2,1,0.0602,
arthritis,0,2,2,0.0398,
arthritis,0,2,3,0.0429,
arthritis,0,2,4,0.0632,
arthritis,0,3,1,0.0473,
arthritis,0,3,2,0.0579,
arthritis,0,3,3,0.0554,
arthritis,0,3,4,0.0953,
arthritis,0,4,1,0.1050,
arthritis,0,4,2,0.0735,
arthritis,0,4,3,0.0840,
arthritis,0,4,4,0.1350,
arthritis,0,5,1,0.1300,
arthritis,0,5,2,0.1050,
arthritis,0,5,3,0.1060,
arthritis,0,5,4,0.1870,
arthritis,0,6,1,0.1450,
arthritis,0,6,2,0.1340,
arthritis,0,6,3,0.1520,
arthritis,0,6,4,0.2530,
arthritis,0,7,1,0.2940,
arthritis,0,7,2,0.1950,
arthritis,0,7,3,0.2140,
arthritis,0,7,4,0.3290,
arthritis,0,8,1,0.3860,
arthritis,0,8,2,0.2670,
arthritis,0,8,3,0.2730,
arthritis,0,8,4,0.3910,
arthritis,0,9,1,0.3670,
arthritis,0,9,2,0.3010,
arthritis,0,9,3,0.3520,
arthritis,0,9,4,0.4870,
arthritis,0,10,1,0.3600,
arthritis,0,10,2,0.3410,
arthritis,0,10,3,0.3800,
arthritis,0,10,4,0.5000,
arthritis,0,11,1,0.4550,
arthritis,0,11,2,0.3700,
arthritis,0,11,3,0.4270,
arthritis,0,11,4,0.5580,
arthritis,0,12,1,0.3240,
arthritis,0,12,2,0.3840,
arthritis,0,12,3,0.4600,
arthritis,0,12,4,0.5990,
arthritis,0,13,1,0.4370,
arthritis,0,13,2,0.4210,
arthritis,0,13,3,0.4780,
arthritis,0,13,4,0.5900,
arthritis,1,1,1,0.0423,
arthritis,1,1,2,0.0328,
arthritis,1,1,3,0.0434,
arthritis,1,1,4,0.0649,
arthritis,1,2,1,0.0755,
arthritis,1,2,2,0.0558,
arthritis,1,2,3,0.0677,
arthritis,1,2,4,0.1150,
arthritis,1,3,1,0.1000,
arthritis,1,3,2,0.0719,
arthritis,1,3,3,0.0868,
arthritis,1,3,4,0.1500,
arthritis,1,4,1,0.1540,
arthritis,1,4,2,0.0926,
arthritis,1,4,3,0.1170,
arthritis,1,4,4,0.1970,
arthritis,1,5,1,0.1710,
arthritis,1,5,2,0.1230,
arthritis,1,5,3,0.1530,
arthritis,1,5,4,0.2510,
arthritis,1,6,1,0.2290,
arthritis,1,6,2,0.1660,
arthritis,1,6,3,0.2180,
arthritis,1,6,4,0.3450,
arthritis,1,7,1,0.2640,
arthritis,1,7,2,0.2450,
arthritis,1,7,3,0.3020,
arthritis,1,7,4,0.4320,
arthritis,1,8,1,0.4040,
arthritis,1,8,2,0.3130,
arthritis,1,8,3,0.3830,
arthritis,1,8,4,0.5270,
arthritis,1,9,1,0.3600,
arthritis,1,9,2,0.3410,
arthritis,1,9,3,0.4490,
arthritis,1,9,4,0.5930,
arthritis,1,10,1,0.4530,
arthritis,1,10,2,0.4270,
arthritis,1,10,3,0.4890,
arthritis,1,10,4,0.6530,
arthritis,1,11,1,0.4330,
arthritis,1,11,2,0.4730,
arthritis,1,11,3,0.5590,
arthritis,1,11,4,0.7030,
arthritis,1,12,1,0.4740,
arthritis,1,12,2,0.5080,
arthritis,1,12,3,0.6180,
arthritis,1,12,4,0.7260,
arthritis,1,13,1,0.4690,
arthritis,1,13,2,0.5520,
arthritis,1,13,3,0.6310,
arthritis,1,13,4,0.7170,
heart_disease,0,1,1,0.0053,
heart_disease,0,1,2,0.0050,
heart_disease,0,1,3,0.0062,
heart_disease,0,1,4,0.0088,
heart_disease,0,2,1,0.0106,
heart_disease,0,2,2,0.0076,
heart_disease,0,2,3,0.0077,
heart_disease,0,2,4,0.0173,
heart_disease,0,3,1,0.0178,
heart_disease,0,3,2,0.0090,
heart_disease,0,3,3,0.0106,
heart_disease,0,3,4,0.0162,
heart_disease,0,4,1,0.0181,
heart_disease,0,4,2,0.0131,
heart_disease,0,4,3,0.0183,
heart_disease,0,4,4,0.0244,
heart_disease,0,5,1,0.0360,
heart_disease,0,5,2,0.0211,
heart_disease,0,5,3,0.0263,
heart_disease,0,5,4,0.0460,
heart_disease,0,6,1,0.0623,
heart_disease,0,6,2,0.0418,
heart_disease,0,6,3,0.0417,
heart_disease,0,6,4,0.0592,
heart_disease,0,7,1,0.0956,
heart_disease,0,7,2,0.0606,
heart_disease,0,7,3,0.0603,
heart_disease,0,7,4,0.0946,
heart_disease,0,8,1,0.1800,
heart_disease,0,8,2,0.0868,
heart_disease,0,8,3,0.0814,
heart_disease,0,8,4,0.1290,
heart_disease,0,9,1,0.1710,
heart_disease,0,9,2,0.1270,
heart_disease,0,9,3,0.1320,
heart_disease,0,9,4,0.1780,
heart_disease,0,10,1,0.2190,
heart_disease,0,10,2,0.1330,
heart_disease,0,10,3,0.1640,
heart_disease,0,10,4,0.2460,
heart_disease,0,11,1,0.1470,
heart_disease,0,11,2,0.1870,
heart_disease,0,11,3,0.2090,
heart_disease,0,11,4,0.2820,
heart_disease,0,12,1,0.2020,
heart_disease,0,12,2,0.2320,
heart_disease,0,12,3,0.2560,
heart_disease,0,12,4,0.3100,
heart_disease,0,13,1,0.2300,
heart_disease,0,13,2,0.2660,
heart_disease,0,13,3,0.2810,
heart_disease,0,13,4,0.3500,
heart_disease,1,1,1,0.0066,
heart_disease,1,1,2,0.0054,
heart_disease,1,1,3,0.0032,
heart_disease,1,1,4,0.0051,
heart_disease,1,2,1,0.0108,
heart_disease,1,2,2,0.0054,
heart_disease,1,2,3,0.0084,
heart_disease,1,2,4,0.0087,
heart_disease,1,3,1,0.0101,
heart_disease,1,3,2,0.0091,
heart_disease,1,3,3,0.0127,
heart_disease,1,3,4,0.0163,
heart_disease,1,4,1,0.0173,
heart_disease,1,4,2,0.0110,
heart_disease,1,4,3,0.0173,
heart_disease,1,4,4,0.0195,
heart_disease,1,5,1,0.0315,
heart_disease,1,5,2,0.0131,
heart_disease,1,5,3,0.0199,
heart_disease,1,5,4,0.0305,
heart_disease,1,6,1,0.0349,
heart_disease,1,6,2,0.0190,
heart_disease,1,6,3,0.0281,
heart_disease,1,6,4,0.0528,
heart_disease,1,7,1,0.0511,
heart_disease,1,7,2,0.0269,
heart_disease,1,7,3,0.0479,
heart_disease,1,7,4,0.0669,
heart_disease,1,8,1,0.0822,
heart_disease,1,8,2,0.0397,
heart_disease,1,8,3,0.0573,
heart_disease,1,8,4,0.0898,
heart_disease,1,9,1,0.0918,
heart_disease,1,9,2,0.0528,
heart_disease,1,9,3,0.0750,
heart_disease,1,9,4,0.1140,
heart_disease,1,10,1,0.0971,
heart_disease,1,10,2,0.0689,
heart_disease,1,10,3,0.0820,
heart_disease,1,10,4,0.1290,
heart_disease,1,11,1,0.0992,
heart_disease,1,11,2,0.0828,
heart_disease,1,11,3,0.1090,
heart_disease,1,11,4,0.1500,
heart_disease,1,12,1,0.1410,
heart_disease,1,12,2,0.1130,
